REF_AREA_NAME,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Argentina,7397.109654956817,7670.595455716408,7480.27172420174,6967.750195552209,7551.024907787894,8219.551556372287,8041.224874114749,8172.274564690418,8436.308563510305,9111.945974855102,9244.122517851532,9614.610616921336,9617.688149437368,9729.532588859032,10100.44691361631,9936.495834478945,9584.748517510385,10088.33748716354,9480.94009490414,10284.60640875519,10275.79870238863,9587.673794234255,9365.684653878474,9617.700056957498,9614.44726215357,8973.318748658132,9378.468663943491,9484.458766380523,9236.807713025346,8445.410092342801,8115.093863707533,8729.823185188916,9293.18692251748,9920.673585824366,10359.89272048708,9934.10776139515,10352.14000021914,11056.68813310021,11348.20221246733,10838.31993463872,10631.65036390286,10051.94484630434,8861.56199282278,9545.531941199944,10302.4465316428,11099.75091906017,11870.27915592978,12811.9021206578,13197.35702670292,12285.37846518653,13387.15537484578,14040.61891244436,13754.42542355963,13946.09508322516,13456.13191591506,13679.62649809542,13265.88606391234,13520.11298461589,13058.32854499543,12706.39781089676,11393.05059578767,12549.28116993417,13182.79339507252,12933.24973421205
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1644.022145021585,1426.827913571441,840.2052591774022,792.5678592463809,857.3944748129688,932.3578294718066,995.7282753198724,1039.079824300903,1128.098888452266,1180.453419959515,1229.215104361021,1351.120726945549,1535.204528851872,1759.646848293856,1955.222624592285,2240.092732097882,2551.435463584521,2919.373493637303,3141.331935007741,2716.974362804709,2796.081434280432,2943.836871193151,3159.758607868893,3266.298829998735,3393.09252326884,3512.39350276709,3533.885036070068,3815.374742603702,4027.833930109785,4343.458395830194,4032.090434549551,4264.799615051871,4791.004817121827,5151.012731181054
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,17354.42115067786,20407.62020507202,24143.17128400531,26573.64791386128,26609.38407486329,27358.02170707085,27662.20340520061,27798.35532650134,28563.23360879351,28479.64526573414,27701.05041172789,28526.09756745114,28387.12995663707,28351.37190229824,30199.66127728164,31169.79691389887,30662.32171452035,30651.94575609171,32192.79194712907,31249.27803734132,31038.8898666583,31759.82320248333,32097.04022435549,28157.14898910951,27324.55542598038,28037.86979273777,27341.22742799963,28668.72041962646,27914.84334403477,27458.2253310273,27719.50073107958,29671.13582858002,30334.11594882266,29576.80994232674,21947.99533011893,27469.0056215511,29917.12802870453,31178.47367876201
Australia,19905.31346692219,19997.54500159538,19767.95707651712,20597.92605881963,21607.4922239031,22455.25098390493,22470.51760720335,23587.62811718482,24355.62825316108,25531.53652884983,26829.76309956034,26975.66552197199,27520.00050558529,27812.44550745095,28231.02390849012,28258.0654813537,28700.29463147021,29399.00247886987,29318.74635508527,30178.38944886306,30717.77803275112,31251.82033493632,31736.04475206157,30608.36840243178,31632.38927497831,32861.41623787658,33674.17055214791,34014.73541219675,35389.45533209039,36143.14777871811,36886.14442737672,36279.75405257515,36029.48456755438,37155.51239596472,38264.14667110495,39310.79823279441,40337.10605191334,41464.49821806966,42967.66166819624,44636.94181294944,45859.51620970453,46191.31423662895,47486.2783216389,48394.12694780948,49902.01870225358,50853.1976727529,51553.9685966991,52531.76112010836,53336.10121570077,53237.00776423121,53578.8125049759,54111.35724033599,55257.57392873619,55728.01740357193,56327.85330632772,56739.02653465933,57401.06622689393,57750.64822216882,58530.78216971171,58924.73364624196,58132.79852362604,59276.50310719696,61009.80771474032,61583.91889353045
Austria,11894.74408452747,12484.80869826099,12737.18531905141,13179.35239705267,13893.58578793812,14283.99732495964,14984.55297466247,15320.35826908987,15922.63860169823,16863.58628124652,18001.78300309277,18838.31554423591,19891.82602695828,20749.34403237263,21530.63416143261,21509.3123873093,22533.8803939277,23669.50864703569,23638.77836256603,24947.52709878939,25379.46294381142,25278.29533014227,25768.21927835763,26577.24549791266,26592.54698922043,27244.21476822946,27853.50495712951,28213.66335116244,29102.32230399636,30097.65134085262,31167.18580890513,31919.55729611671,32231.12172469087,32134.82990989906,32780.34203107802,33603.42776683456,34301.65625599142,34998.03205772926,36180.74908431007,37468.86995256933,38571.08585159011,38929.75381740201,39313.72260590573,39569.28864051011,40333.33070621804,40989.01321525397,42120.15577569044,43568.83027263677,44063.86424040445,42372.47583877025,43035.40746779495,44146.19575786006,44221.46000415564,43851.36754647881,43838.83468453633,43915.22802085699,44362.67029181453,45056.63869082886,45951.58189515824,46550.56234307847,43428.69831412551,45313.39900437539,47250.96958975901,46338.95712494121
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2820.840103074023,2764.073993462233,2107.29678414183,1596.132665663178,1264.527189193705,1102.49789007407,1105.587242294278,1158.481657617604,1262.291887126125,1343.855938698781,1480.808690724364,1614.848858134748,1754.135241329906,1918.611036969531,2077.885270473391,2631.851452794082,3501.164825006026,4327.113604688481,4693.077079681157,5023.967290502802,5215.204154294959,5152.838502447441,5194.920916650834,5426.095941559613,5506.181696003186,5500.503646284862,5270.738165712003,5229.709889858595,5262.368704733676,5348.453188518231,5083.560254457207,5345.439864458313,5595.255786715627,5651.345638729489
"Bahamas, The",18789.51157867871,19793.22944289865,20790.80033411324,21857.17003195364,23053.32409143026,24351.45070034458,25373.48709265607,26541.87167561849,27453.77002827194,28592.88685144314,25956.47394241596,25566.66489689064,24018.37118896209,25226.59212264504,20534.64597566312,17116.11498012363,17616.26845615034,18820.50388211604,21047.01025810029,26028.70005164189,27207.21294697242,24270.27372081412,25465.61399520421,25941.31704922428,29121.81774074186,30010.7056229913,30030.18689492186,30407.05742550733,30582.45225991913,32070.51704984177,31013.41130962768,29209.8799129391,27581.92302500649,27152.87488102067,27519.54389385548,28252.70770662116,28983.80300820013,28919.28956463645,29854.69658697562,31562.5997734386,32443.48211227564,32889.1043697221,33393.90704132104,32578.14433406184,32462.84008081857,33163.95930620914,33561.25184281905,33568.74142442409,32350.52581091888,30599.02290816544,30675.16461029045,30510.31125867848,31111.96053322745,29943.28331517273,30229.5788172228,30289.40225148308,29788.63039897398,30432.0034857242,31054.82326481368,30481.35367311378,23879.31368356532,27522.02264080929,30400.10027737699,31053.80063887344
Bahrain,,,,,,,,,,,17423.52467022834,17249.01242245706,18258.31311429243,19724.6516534591,20304.81746161309,17582.57544136522,21815.07648253171,23475.82664299497,23251.05311340839,22978.21980187262,22551.98609258147,20521.42501610296,18310.99085916442,18811.43809554929,19065.31914786643,17516.63610439905,17091.29030169835,18193.20734419555,18774.13951720751,18183.31192976904,18345.83799688154,20882.50595854254,21701.22218106744,23858.19327009778,23180.33237293147,23465.7128444519,23795.20913406788,23893.13357343625,24386.59147310108,24773.84639840476,25407.96955069944,25106.28695976027,24149.01558670948,23857.64049788697,23688.11198701742,23439.6704259167,23095.01825446733,23112.48874738718,23127.21470742228,22206.93715651844,22224.07361662487,23288.04493983129,23894.88044470879,24271.62788145059,24135.49913048491,23734.05511430191,23715.27913287116,23606.88675013135,24059.78386415621,24873.66400601341,23586.93095815159,24086.78478034281,25187.14256813245,25076.65450310092
Bangladesh,429.3987009101662,442.7548027766452,453.534880895558,438.4975100238277,472.5263778567834,466.2974162307147,464.5605950171336,442.6315151096535,470.5766626209627,462.973250718686,476.4957580089634,442.5812665098653,373.4831899833567,375.01209712721,399.5105081305051,373.2603736969995,384.5095520287145,385.0855203201401,402.3855959317121,411.669266520237,405.2267702595173,423.5371228674734,420.8720045329513,425.6465711685684,434.7823516043075,438.3824788284393,446.0802530641697,452.6597569237309,453.8392368834789,457.254334777705,473.4448210210855,480.6733589760867,497.3711737353226,511.1935094212935,521.323144726555,537.9319466439827,552.0771071387666,566.2711408476324,584.4481751740466,600.232323162952,620.5604728221052,641.2889228762742,655.6721393622719,676.826252046427,702.6563570818726,739.2037183534092,779.419570444998,825.5082299645373,866.4581576213504,901.729626251937,943.6642286423604,995.579947155662,1050.391404040661,1103.156959071229,1159.407534759807,1224.386476681652,1299.830913607923,1373.753637401862,1462.250502557132,1564.208024456359,1604.665923474202,1702.080284141892,1804.349346177604,1885.377336135451
Barbados,7381.797143842202,7873.047801578991,8510.625218395193,7999.083280476605,8315.383480288676,9172.240866948923,9439.020876373452,10354.42563719475,11006.59520480342,11791.2280425428,12915.45472207976,13432.59649515527,13577.00122035987,13722.53116267185,13060.57834822677,12792.12539413183,13335.7131391662,13811.32041538978,14489.20880410611,15650.38802475555,16318.22910402238,15960.88458739169,15129.17442905014,15151.31176600416,15639.67364060663,15755.80857478098,16508.51495927668,16892.73261434653,17452.05620431709,18056.09320277691,17426.93518351341,16696.22733988001,15691.70537452976,15770.1013386706,16050.73976919048,16347.81934157666,16982.00888734311,17779.65240732631,18439.46842854784,18495.46854574215,19351.46375362222,18867.64902724582,18892.17312690005,19184.92795095978,19344.96075881077,20004.76678835176,21117.31404692275,21454.19704939134,21477.20809756129,20294.78258422424,19763.95236357203,19555.73210722038,19438.21791130205,19191.43754671974,19160.12229902299,18954.29137245063,19251.98342233572,19237.28748842798,18974.85717869085,19064.99758848627,16166.65595078291,16099.77497377339,18959.33516386533,19734.23802609209
