REF_AREA_NAME,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Bahrain,41856.54450771998,47644.02368728209,49511.94773703828,54433.13784049446,52886.57917050579,53537.68272924535,54289.43776566201,54512.85512362146,55638.69317710902,56522.22616260485,57968.99593959239,57280.69863766506,55096.65712160687,54431.87667517464,54045.09261757285,53478.26622013343,52691.93261376424,52731.79203390062,52765.38972519891,50665.7506530884,50704.84796798192,53132.3284162611,54516.84065947874,55376.40051478942,55065.81894721295,54149.91315247206,54107.07522364232,53859.77495896006,54893.07244113678,56749.96283706122,53814.24525923582,54954.67578955323,57465.17297844491,57213.09135577113
Bangladesh,2069.782301006722,2101.383660356581,2174.382328669431,2234.810121922496,2279.094353029439,2351.703879469031,2413.542982015047,2475.595746024889,2555.061192182823,2624.065537976379,2712.935122157251,2803.554719509463,2866.434543287154,2958.915031156333,3071.83778764611,3231.613706928911,3407.427350215904,3608.915438193992,3787.938276185503,3942.136312072034,4125.463901632016,4352.42643359325,4592.048409198117,4822.726213782659,5068.639656727411,5352.711332995656,5682.535534943063,6005.707187810483,6392.593340240905,6838.326116082433,7015.197927970561,7441.069139612541,7888.163890983044,8242.397989772422
Barbados,16976.76164797786,16264.92948902154,15286.35638960228,15362.72722494236,15636.11618829294,15925.52158504077,16543.32871203932,17320.36746132093,17963.13907926968,18017.69259839714,18851.57569160673,18380.2588935019,18404.14948528278,18689.34185083766,18845.2406825102,19488.00256688405,20571.81044428633,20899.99106675029,20922.40769227494,19770.52665897647,19253.40887339582,19050.56737400774,18936.08881117664,18695.68329036663,18665.17697984806,18464.66308894272,18754.66514163746,18740.34883389207,18484.69763815991,18572.50953599698,15749.03801679094,15683.8847128096,18469.57658886384,19224.46211829445
Belarus,12351.63571033803,12197.78780263086,11002.6017504808,10143.98401387966,8967.730734131323,8061.196031569702,8314.856561981907,9301.327174538534,10128.15604377139,10519.74891504502,11182.45484355851,11771.08721038453,12443.932258963,13413.92655773565,15052.11820375708,16579.87316582524,18349.87190174914,20019.61116313259,22137.94728512461,22236.83876528951,24012.61329799378,25404.75660344891,25879.13194439059,26147.62535739248,26564.43471911371,25513.2132931209,24846.83015297724,25503.98098593386,26363.46298212515,26798.82064279589,26731.49538135064,27611.18011351555,26537.50830748649,27718.3231175409
Belgium,41620.79618678529,42226.53354071103,42699.28725269184,42123.70108451055,43349.2138312377,44290.13024578534,44787.79652055642,46374.53989752581,47183.47318053625,48743.20839289613,50432.39369497549,50811.88114896161,51448.04289583355,51764.8870211873,53381.98656662468,54321.75321874619,55342.010261713,56957.10137933466,56761.46722440519,55233.1451042575,56214.18701919529,56559.12676134297,56330.7551159694,56237.1485365308,56976.54029452195,57482.42155293811,57874.71306524231,58502.25526552377,59330.23152546425,60451.99968856696,57307.02061612732,60611.52713501266,62668.95397153452,62876.23877172748
Belize,8243.732654963489,9019.605755321076,9957.971102817322,10356.67090767439,10136.44657529718,9958.204291485126,9773.261397960625,9852.85726749046,9884.916623202907,10450.55263851834,11352.71912027995,11555.90721083582,11816.59760904563,12577.09715201327,12794.80585930894,12702.74198178502,12900.1113839766,12962.46689396828,12398.51256185238,12024.19646820608,11868.43823990835,11584.28516070679,11761.5639088012,12026.07110250811,12249.22141956989,12339.48073825813,12062.79816997134,11574.45244714699,11486.80294260093,11803.08799926693,10032.54449756898,11677.46100951715,12569.81794330883,12455.29606500242
Benin,2207.067964283567,2230.460546645372,2226.566660066255,2254.245654288926,2215.36616821938,2300.14122107459,2337.630307712787,2399.785931273558,2419.100143385479,2470.68504400549,2536.168858670967,2591.064852202879,2630.180610296271,2639.043701146415,2672.844043571575,2632.472514543285,2652.218419671588,2729.137413903517,2777.619740317654,2758.072431506483,2733.573996411508,2732.012496479568,2779.726480853202,2893.046701535196,2987.382363261529,2952.002183387052,2962.663815722646,3041.779299849893,3155.451065062702,3281.104700514647,3317.859722255697,3464.2886286745,3588.33525858047,3721.224527233898
Bermuda,79109.89064976202,75754.49425936968,75160.93216632612,76883.81379645475,76850.91223864128,79784.21401036624,81466.19991680875,84698.20356950526,87330.96306101372,89568.67729493482,97236.2489313222,103724.8617999974,101739.7902285624,104798.3462896825,106941.2982734952,108461.2348090823,114250.0930782468,117742.1189499334,115015.7494687706,108091.6445631832,105121.6396888624,101174.5041037473,95937.85592075269,95777.85893836513,92298.38781050638,93109.4546037139,92519.40077200852,95666.16311696357,94874.57824438172,94755.43281084306,87894.40117440713,92276.23460463589,98057.44709762062,98041.68872084304
Bhutan,3411.383758448553,3338.009420572177,3624.597815483394,3850.551289292577,4042.494178382632,4379.870465818585,4616.919791496177,4778.705118270394,4965.876461011692,5241.366635007193,5287.574344519313,5545.630553200681,5991.254968499543,6323.541194939409,6517.996826200224,6850.80440897429,7140.85609157052,8195.070744484441,8470.034709024729,9019.118606522805,9985.284553570307,10714.6865627638,11143.94452972999,11212.47942113758,11744.51890496428,12400.29832177581,13320.97589704719,13482.34252532638,13854.85439224245,14555.18839796984,12979.93694463357,13458.81266429255,14061.31202136888,
Bolivia,5124.487980035211,5283.118253830973,5261.661676604436,5378.544096192777,5521.660253246812,5671.821581477821,5810.674455991658,5989.414318194536,6180.549687832972,6099.511520943953,6146.029292508726,6144.978293362893,6193.263473650233,6255.515581307395,6407.838116613083,6579.312287299128,6778.384923932411,6967.569878971548,7272.166240739835,7392.162591334466,7571.678090883883,7837.493186370411,8108.205186582771,8524.03213224208,8851.711631699029,9141.92841760819,9390.79064490474,9642.813960690575,9907.062556967703,9985.23048827288,9000.975647814228,9454.198147263478,9681.707426744251,9843.970141740783
Bosnia and Herzegovina,2411.112897766716,2180.970407696812,2148.393270675874,2279.219038645853,2654.69220884752,3086.761198590967,4563.63502701309,6013.913178000423,6891.22194005942,7472.547690409891,7821.33684951007,7973.17592133535,8356.898943479182,8699.762610266258,9333.89284324984,9802.98216090139,10418.20363371481,11165.38734811694,11969.69363202798,11812.80759850507,12128.64929182562,12473.03304502795,12612.14739590662,13120.34280807555,13443.10008550418,14207.61703648094,14860.5944562545,15541.01502485862,16334.42250540883,17014.35996957068,16732.34543968787,18270.33517795125,19280.88730005139,19829.28225724622
Botswana,10520.94021017022,11001.82416812559,11008.70384499443,10902.97388186809,10989.69283926749,11457.7231907436,11832.9633106934,12526.37820645713,12306.27599097456,13207.47472864595,13185.84448871727,12949.66715810507,13479.72401856166,13857.28755581915,13984.87050511835,14361.98740848025,15275.61455097529,15850.2672108739,16040.348578943,13489.97888465969,14545.37829638081,15237.11142487012,14957.9977222551,16369.82761640588,17052.22965737838,15994.99746552,16905.62379012087,17352.92933818365,17824.95052514764,18106.0168508915,16289.4202155885,17961.35762184573,18648.13559641319,18846.2504612042
Brazil,12633.28845704098,12546.56050153046,12271.97884882586,12669.42872195898,13202.93080221357,13550.4393746368,13641.6296006557,13896.62499118654,13737.70264442263,13602.41370784392,14005.34718851095,14016.13137831229,14265.90487813724,14259.36641003975,14911.26096201739,15221.01382933638,15657.47957291443,16440.58374130894,17113.36798359351,16939.44078234847,18062.15811176884,18627.81045438653,18832.21955417021,19241.50598306708,19183.17274612602,18357.06906322492,17620.9272447823,17724.47995915512,17917.74921372759,18018.62091655133,17327.51572629249,18075.70600631076,18554.04618429775,19018.23906974964
Brunei Darussalam,118163.6831978042,118220.683618951,111457.2209098127,107899.1361767708,106239.2322135332,105043.8526840276,102522.125235775,106503.4202920594,97171.6371135151,99083.32065566178,100323.4400218643,99680.76247722608,101571.5837926148,103226.914281632,101497.7547045756,99795.68512058206,102248.5103726027,96752.62026305147,91275.50014049528,87875.82823135685,88586.51319292015,90279.66334028188,89718.4636612666,86606.65171565852,83310.61506419817,81910.18839526884,78880.62290791022,78966.86429612881,78099.05077220085,80228.15965627403,80280.89794805693,78248.79711014537,76357.82910177723,76828.39983149686
Bulgaria,14941.48874443191,13815.78669532995,12949.36225666644,12859.85450911907,13138.18791062785,13574.53166883584,14354.98164398607,12404.00723146952,12960.20586425206,11938.80255617446,12548.28508725384,13290.03433656266,14379.18141611202,15252.58177248529,16368.67484880051,17656.15328347125,19000.99585922867,20414.95280517849,21818.91501961048,21224.91367525575,21697.39697881944,22293.40501914054,22590.81377686943,22594.29695395489,22938.83028855368,23870.01163963864,24765.56180181152,25632.15208235561,26476.12499740317,27673.376233555,26944.72209789403,29278.79498058165,31536.17007392775,33111.73320994179
Burkina Faso,1107.855904549655,1178.077046390625,1152.044760950961,1162.64923453351,1148.607213703954,1183.528610080837,1280.696085338885,1326.94230829963,1385.093106790948,1444.566901704143,1428.574006170963,1477.284918465249,1494.678012695828,1561.833101849148,1581.256209332939,1664.995431800227,1714.76034904509,1731.930463350774,1779.327109115711,1779.323056279725,1873.97146230828,1939.866599894059,2003.6646118745,2057.063931985295,2083.198446983037,2101.702661920274,2162.725789778139,2232.287814909443,2316.394320790445,2391.536268444836,2380.931718265739,2486.430931477617,2466.053313900536,2482.072253438053
