REF_AREA_NAME,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Armenia,21801542439.20434,19250762304.75896,11203943132.79071,10217996272.30384,10769768354.98441,11512882201.28762,12188158880.20359,12592937350.635,13512221775.68369,13958125094.35984,14781654475.3627,16200693304.89049,18339184820.80159,20906670695.99809,23101871118.83123,26313031204.14392,29786351322.95045,33867081454.65537,36203910075.17208,31099158754.31947,31783340246.98139,33277157238.1681,35673112559.63728,36850325274.10531,38176936984.1905,39398598967.28994,39477396165.15595,42438200878.19065,44644987323.7094,48038006359.65913,44579269902.14496,47164867556.76201,53107640868.80867,57515575060.7049
Aruba,2169949832.806982,2342740154.649234,2480548422.75457,2661819292.29095,2880192319.631749,2953554956.476059,2988577871.82626,3199179218.504749,3262906371.034986,3303302517.17602,3555110646.866751,3703785432.084012,3668786382.708933,3709528424.232648,3980091340.211216,3964842110.904319,4009542195.396762,4133418781.15287,4209298230.204735,3717747269.415319,3616124254.151265,3737960057.149551,3699055373.19706,3936959476.043519,3874496655.796692,3850334291.064636,3916545601.343224,4192604625.633186,4293104933.803957,4197263925.207702,3097084627.347773,3844492519.395917,4171963243.757658,4349844050.548787
Australia,617457016558.322,615096724125.3989,617731119081.093,642729018263.0536,668312129467.3147,694282245835.3052,721108540563.8962,749327301197.6399,784270041337.3458,823700661455.1448,856002107033.3202,873337053078.6818,908092249387.018,936159218692.3622,975705250398.6964,1006480628613.252,1034212653417.086,1073236824027.435,1111725961567.021,1132765995946.498,1157913177509.281,1185785076140.525,1232228831972.519,1264293809241.576,1297105825651.641,1325514639064.331,1362090704076.567,1393140812050.788,1433241948408.5,1464365443099.344,1462614197690.701,1493492442755.908,1556852150387.928,1610438879971.218
Austria,332234911707.9442,343669199030.6433,350863999475.7742,352712384052.4586,361184954263.118,370821308991.0211,379037846792.7378,387171372660.7715,400694805201.0089,415768641070.1145,429029676167.5438,434679943841.4207,441132198080.2286,446168008922.4157,457613356492.7321,468231657873.0148,483539724523.6918,501794435233.075,509087041848.3953,490829832570.5392,499708859179.0087,514337675664.392,517568982461.0401,516271299628.5273,520173273345.3823,526953852113.0042,538110622726.8279,550337841999.4867,564009449508.8811,573907682556.5498,537646730062.6312,563428660194.172,593165828839.5187,587501318401.0918
Azerbaijan,76150158411.72926,75617107169.05165,58527640701.99815,45007756449.67004,36141227871.02315,31876563304.73716,32290958437.91788,34163834075.09412,37580217349.88965,40361153922.16859,44841241661.80962,49280524525.94395,53932071972.90414,59437619352.7793,64937858840.71262,83095482987.11615,111763424617.6712,139704280606.1967,154735033506.1526,169119765061.0134,177658528160.2983,177836186933.3157,181686766253.349,192242405530.1779,197530045996.2881,199690977126.8938,193500557074.8452,193887558070.8795,196795871441.9427,201715768360.7051,193041990114.8247,203884098954.1241,213496831273.9049,215896480846.588
"Bahamas, The",9123444229.616554,8741921405.199636,8407492007.499157,8433370822.457406,8698930583.263916,9079835183.186598,9463324778.98996,9585189047.17809,10037303105.64586,10754378468.95079,11200515181.76296,11494641811.09211,11805566842.86719,11656236259.16083,11759087827.51069,12158436351.9152,12464414614.87185,12644662503.6934,12350845047.41539,11835144398.09405,12017247325.22251,12090933569.08038,12453408054.25084,12096828468.589,12320288444.19321,12443091980.11074,12323400786.24148,12668396688.25349,13001561568.17476,12825095896.34564,10077516213.83235,11629771045.98223,12883694495.30729,13223702405.42739
Bahrain,21547623542.94072,23967421403.93463,25570841504.37532,28861810511.47617,28789655556.73155,29921086586.03791,31150845074.43473,32114340646.15226,33652618458.62897,35099680702.48982,36959988369.1572,37880642500.26611,39149095007.72913,41614095060.07449,44519158637.89208,47532659538.31144,50606596688.64191,54803887801.87274,58226396500.1981,59705280555.85917,62293086037.12841,63494195104.00034,65908897751.04605,69397206737.52946,72387433086.88614,74202817290.92181,77033649779.8554,80849769947.29428,82509283148.62073,84203097859.2666,79225547127.628,82671890844.15125,87616746984.02411,90228420640.44109
Bangladesh,231057491642.1932,239110371611.8132,252124397255.285,264003393854.5922,274273459684.511,288319765753.3386,301360235844.5566,314890998518.9803,331192990133.4376,346660220655.2435,365009967807.8023,383542574281.8149,398244236516.4437,417119290521.2841,438974393023.3506,467665517646.5909,498867716635.1711,534080790061.3825,566199285910.2567,594764746496.5708,627903778372.382,668493859146.4298,712089410611.2413,754911659700.2234,800667303501.5299,853132148522.1753,913819518032.8474,974042508801.1876,1045336699213.328,1127729250889.439,1166613553390.399,1247561124482.205,1336135828193.282,1413299173688.328
Barbados,4389884980.457411,4218683556.355984,3978534118.452615,4010086599.345029,4090720717.1812,4173107750.622499,4339050427.908522,4544725858.910922,4714174367.407217,4729950607.853421,4940300480.469534,4823439440.127237,4861419278.238475,4967178519.748229,5037295143.95361,5236543217.737146,5554429963.578198,5669916776.516552,5705833491.391069,5419556079.338607,5299366018.540086,5260604624.091123,5244122563.189636,5191136900.819649,5195414681.986748,5151456355.184129,5243766864.271551,5250502273.140376,5188857958.705506,5222719689.089102,4436472511.253973,4425161020.065089,5214293923.414862,5427757736.630781
Belarus,125855114621.8613,124344858749.4092,112407750705.7345,103864759517.3145,91712578670.078,82174470003.69221,84475358966.55797,94105554499.47292,102010412931.0919,105478766196.9407,111596538181.3249,116869816151.5761,122766211009.548,131412871590.5702,146459307731.8142,160226484985.3161,176249125026.036,191406561408.9861,210930029663.458,211351879702.3117,227731686449.5921,240370737483.7262,244475915301.019,246917543398.8076,250994459910.0667,241382449970.4271,235284051667.1695,241241875602.1575,248839058943.7382,252438405140.5417,250740143565.2907,256855349956.2881,244890010824.5751,254407029633.0794
