REF_AREA_NAME,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Argentina,150797810295.8842,158982878499.524,157628310158.5667,149261089202.8117,164381681831.9179,181755894112.433,180556802912.311,186320169964.5761,195305461613.1561,214210104570.4818,220734180309.3222,233223609573.6692,237021461356.4475,243685921868.2263,257171024124.4516,257097956426.3625,251909073021.0384,269376820356.4308,257238364643.4741,283535234199.299,287841521828.6344,272903153784.4583,270895516738.1603,282677015450.4567,287117132733.2874,272218554792.8612,288969188904.0536,296785426416.3929,293550663101.6488,272541389928.6697,265817211205.3115,290094591011.8441,313120244489.8896,338817957426.0348,358592053441.5451,348389357874.2831,367643757074.8025,397463514160.8664,412766570325.7643,398792535409.2926,395646066535.8751,378202665751.8526,336999433710.193,366780211148.6741,399898899166.7381,435296589745.3388,470325565798.3527,512690850741.5605,533491913656.2786,501917060966.2351,552738161802.4628,585924294024.7853,579910247223.428,593858966307.1565,578937574935.6956,594749285413.2124,582376550428.09,598790850843.6769,583118120294.0024,571450737224.442,514874343768.0657,568636554720.066,598603016935.287,588959512629.6919
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5839777093.951232,5156523262.605176,3001096397.250655,2736999950.507023,2884798023.900463,3083849041.962187,3264729146.780901,3373153403.749954,3619393601.80914,3738833590.689894,3959424772.657283,4339529550.803715,4912347451.420218,5600076094.695198,6188084084.572124,7048227772.272777,7978593838.175157,9071661194.128555,9697605816.5624,8330243396.359238,8513508751.097059,8913643662.285742,9555426006.056318,9870755064.256176,10226102246.62763,10553337518.414,10574444193.43246,11367527508.11347,11958638938.49595,12867495497.64695,11941035821.9185,12633615899.66816,14225451502.99813,15406163977.68941
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,1040067813.981275,1207294403.711855,1432438495.451319,1606191000.857517,1669818678.849896,1802784198.409141,1908830345.975868,2048321812.233251,2216364111.874332,2272818090.431913,2299768906.232061,2461830746.168601,2510870031.794506,2541955653.388158,2735726915.786389,2850135060.009999,2823202609.542747,2854554404.373309,3062757840.265965,3051023261.175819,3085420847.195168,3180746293.728706,3239137008.321283,2860878965.889483,2782678075.47099,2876433099.90676,2846495187.529041,3029567030.344027,2981500673.046322,2962907262.569832,3013858155.988089,3226290954.320648,3303627899.754378,3229876376.131907,2383266968.911624,2958411905.441053,3210407008.760283,3347289755.67821
Australia,204556496020.6162,209634264251.7243,212347394915.9469,225547290344.075,241290865664.3259,255720398204.7094,261804000641.5262,278310424154.6636,292486739692.2114,313093232453.2855,335559847086.2011,348984184857.7517,362631046662.0974,372130520889.6937,387414341096.2099,392589303732.4469,402751234563.4215,417230643180.1212,420958560166.3143,438009144460.7984,451305594857.1794,466379040331.5418,481887942318.3566,471169061968.5184,492813360779.0936,518826292325.4617,539404649863.9984,553211370887.306,585064279420.7928,607725922300.8422,629466776079.6704,627060575115.8547,629746209994.4159,655230327244.4578,681311039099.6658,707786283507.272,735134359250.4105,763901984857.9314,799524373774.5416,839721933537.8434,872651653770.258,890323770708.0662,925754967998.798,954367849882.3636,994683066030.8214,1026057036344.298,1054328458936.161,1094111663603.913,1133349428616.568,1154798699180.009,1180435002406.503,1208849019421.68,1256196122893.837,1288884775424.057,1322334997273.411,1351296372254.314,1388583854795.632,1420237898460.73,1461119016244.313,1492847874023.885,1491062566266.518,1522541404227.634,1587133480804.533,1641762491418.846
Austria,83828672830.72664,88471087393.67815,90814399067.63312,94572541903.64693,100364498908.4932,103857359026.0785,109717885860.9749,113018252310.3594,118072782054.9488,125482873016.0008,134420861837.432,141296446649.8617,150067933804.4047,157406910004.1425,163612107156.8246,163016992180.1156,170480635467.2699,179141019329.4843,178763651805.1249,188339484767.7781,191600555070.2871,191324086648.2011,195172100364.9797,200974738503.1207,201077788950.889,206102076058.4344,210845294703.4492,213706819428.4281,220750340111.9828,229331070934.2664,239296977562.9023,247532687599.6398,252714846186.8792,254046171785.0851,260148662438.9948,267089385643.7202,273007465269.5921,278865754355.3011,288606201307.4847,299463348574.7987,309014799991.6804,313084486617.4155,317731815610.858,321358930858.6776,329602607197.9698,337250591613.8499,348276446973.2608,361424665131.8647,366677270021.0687,353527252232.5562,359922498957.7862,370459114608.076,372786509841.892,371851835102.0846,374662287839.1951,379546097300.6326,387581921933.0467,396388752620.7205,406235924727.3662,413365269561.5494,387247796564.0865,405817602863.188,427236226636.1321,423156281454.2103
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20240091907.57673,20098411228.66194,15556170225.3742,11962695102.61238,9606044019.069435,8472530910.535721,8582673761.930479,9080468852.821184,9988515702.829033,10727665994.6477,11918436828.16411,13098362058.10257,14334705485.38593,15798035139.51081,17259953999.18723,22086102614.13002,29705808016.00488,37132259975.91326,41127311680.07785,44950656172.18016,47220189860.76579,47267410115.70758,48290862738.26815,51096465688.5745,52501877459.74436,53076235354.74602,51430872122.24258,51533733835.09296,52306739842.61935,53614408373.95911,51308988759.02737,54190732985.91225,56745718946.45793,57383526259.1424
"Bahamas, The",2185539618.297171,2418673258.233886,2671472307.331213,2952619528.106521,3262690852.011941,3602845834.017381,3929693439.988015,4306869891.187585,4669584290.338746,5088990594.706701,4801480462.815989,4879576962.225857,4708921763.451963,5065272658.89802,4216625273.934616,3592432908.718227,3778707200.112705,4124645169.292905,4709500062.36278,5940530212.786229,6326384397.707708,5742686546.176713,6127383245.842066,6347788399.311084,7247342928.41424,7597330171.28274,7733854212.170596,7964672586.750263,8148633239.750933,8696818672.541992,8557995783.83521,8200118797.839306,7886416504.77103,7910691414.961682,8159792440.423193,8517089517.945721,8876811379.715437,8991122802.803732,9415215953.241327,10087848763.98781,10506335029.82878,10782232420.15221,11073887089.60064,10933811645.10917,11030288728.34069,11404886621.64949,11691901110.74209,11860977682.45746,11585370303.40627,11101631501.3115,11272448140.66031,11341567493.87729,11681576709.45038,11347097042.13465,11556707522.66664,11671900000.0,11559626969.47385,11883240881.12301,12195757028.08783,12030228260.93618,9452936752.71722,10908986680.2055,12085195064.06789,12404130127.1916
Bahrain,,,,,,,,,,,3916965157.589363,3979916383.270784,4420574963.040684,5036098060.161178,5462767480.237461,4980141415.73861,6497904126.316343,7343778517.941615,7627414969.641171,7892030438.491764,8095666863.54271,7665244757.714841,7086042175.652025,7537874924.95327,7915043505.513339,7538424480.616968,7627603583.583752,8420798792.090287,9010254004.353882,9043051972.096249,9444382363.280624,10504986387.45674,11207769805.18973,12650210526.6376,12618584812.52321,13114494128.79444,13653500639.45508,14075803385.11489,14750034759.7734,15384286101.09897,16199664042.07405,16603189267.08082,17159155472.18318,18239571740.52305,19512869056.29771,20833694747.30413,22181009812.02853,24020693992.71576,25520788920.78165,26168987849.29868,27303230073.18916,27829679463.99718,28888050241.95691,30416985616.38295,31727610007.9685,32523297872.34042,33764059498.72613,35436675410.81017,36164044588.15842,36906448210.90643,34724774104.3146,36235315986.08041,38402659963.63357,39547363674.00583
Bangladesh,22255159273.9147,23603412614.69432,24890514014.52173,24777039582.38539,27490816335.81726,27932389835.4113,28649361769.95119,28111938729.29163,30779608227.87081,31155383509.3056,32906270043.79065,31103176561.84731,26756903051.37326,27646752077.96873,30298616455.76621,29059944148.19736,30705132551.29054,31525897954.62627,33755988819.68073,35376828058.60376,35666614469.12643,38246717277.69935,39063027610.82764,40579081837.574,42528220939.57538,43949520315.53256,45783701931.14581,47510847150.94714,48658831252.41296,50039078963.94208,52852405164.98351,54694431891.2081,57671277832.22348,60388495684.61964,62737684522.67072,65950655693.37254,68933550573.36285,72028595646.24586,75757535399.20442,79295530763.51227,83492876905.76106,87732050538.11623,91094928770.28622,95412434316.99928,100411600213.5554,106974447115.6362,114111680586.242,122166366935.5098,129513195397.2473,136047297736.4616,143627564998.2042,152912195327.6613,162884301114.1172,172679520662.4689,183145728910.3979,195146608978.1311,209028320490.6151,222803809377.4431,239111739541.4517,257958323968.6128,266852772253.8951,285368829855.224,305629528154.3107,323279976841.3641
Barbados,1704405287.933157,1835585348.842539,2001903306.371791,1900238226.860181,1995342789.16311,2223507114.243157,2312522358.62799,2558485385.120089,2735579172.201842,2941251087.844046,3220946506.775305,3346973203.504848,3389606970.672605,3435051445.702343,3275292656.433265,3213062095.871062,3353158383.138228,3475287310.842869,3644774963.881696,3932457348.592303,4104426257.160124,4026452354.861303,3829118402.120445,3848311978.070929,3986865604.463443,4030650949.60047,4236382091.819662,4346145354.286461,4498494363.393385,4660440160.475545,4506291753.623265,4330550573.826696,4084033082.712738,4116422242.12917,4199194538.415612,4283766232.447405,4454109219.0079,4665238554.463166,4839180336.51438,4855374916.222593,5071302645.665501,4951342795.974985,4990329747.124394,5098893411.094287,5170869320.908601,5375400864.630849,5701717027.297235,5820266209.135278,5857135329.118329,5563266686.3353,5439889540.406657,5400100308.35573,5383181191.920167,5328790506.409937,5333181721.688452,5288057750.0,5382816060.918221,5389730072.920356,5326451133.487488,5361210776.865459,4554114648.023643,4542503209.52524,5352561584.792132,5571685827.334736
